,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
0,A,6.06,32,1.38,26,0.94,2583,80.72,16.5,4.0,2.0,41.0,0.709,892.0,6.0,6.0,43.4,40.0,0.0,0.0,SerieA,82.0,8.5,3.0,6.0
1,A,5.64,38,1.29,21,0.71,2576,67.79,8.5,6.0,9.0,23.0,0.755,1213.0,13.0,14.0,46.43,46.0,0.0,0.0,SerieA,45.0,8.0,3.5,5.75
2,A,5.36,33,1.39,16,0.82,2527,76.58,5.0,6.0,4.0,13.0,0.7805,994.0,7.0,5.0,36.54,28.0,0.0,0.0,SerieA,43.0,8.0,3.0,5.0
3,A,5.83,35,1.42,15,0.8,2430,69.43,8.5,8.0,15.0,33.0,0.7405,1330.0,15.0,7.0,45.54,20.0,0.0,0.0,SerieA,72.0,8.0,3.5,5.25
4,A,5.66,31,1.17,13,0.65,1733,55.9,7.5,6.0,10.0,21.0,0.7623,970.0,4.0,5.0,39.81,24.0,0.0,0.0,SerieA,26.0,8.0,4.0,5.0
5,A,5.2,33,1.04,13,0.76,2147,65.06,11.5,5.0,10.0,10.0,0.6367,852.0,3.0,5.0,51.67,38.0,0.0,0.0,SerieA,19.0,8.0,3.5,5.0
6,A,4.85,31,1.4,13,0.94,2653,85.58,7.5,2.0,2.0,20.0,0.7973,1094.0,7.0,5.0,34.16,57.0,0.0,0.0,SerieA,23.0,7.5,2.5,4.0
7,A,6.16,25,1.31,12,0.84,1751,70.04,10.0,6.0,12.0,19.0,0.8372,1191.0,8.0,4.0,49.75,10.0,0.0,0.0,SerieA,64.0,8.0,4.0,5.0
8,MO,6.0,34,1.28,12,0.88,2539,74.68,14.5,10.0,14.0,30.0,0.8315,1715.0,5.0,23.0,44.79,20.0,0.0,0.0,SerieA,58.0,9.0,3.5,6.0
9,A,5.63,26,1.14,12,0.85,1872,72.0,5.0,7.0,8.0,21.0,0.7241,1283.0,19.0,14.0,45.49,33.0,0.0,0.0,SerieA,42.0,8.0,3.5,5.0
10,A,5.27,31,1.3,12,0.87,2228,71.87,13.5,5.0,2.0,23.0,0.7751,931.0,1.0,5.0,40.0,21.0,0.0,0.0,SerieA,45.0,8.0,3.5,4.5
11,A,5.17,33,1.11,12,0.85,2442,74.0,11.5,4.0,7.0,11.0,0.7601,1022.0,4.0,5.0,42.61,33.0,0.0,0.0,SerieA,29.0,7.5,3.0,4.75
12,A,5.41,32,1.21,11,0.69,2123,66.34,7.5,4.0,4.0,20.0,0.6671,1333.0,8.0,19.0,42.81,39.0,0.0,0.0,SerieA,38.0,8.0,3.5,5.0
13,MO,5.8,35,1.09,10,0.94,2782,79.49,16.5,6.0,10.0,24.0,0.8374,1582.0,21.0,28.0,57.92,53.0,0.0,0.0,SerieA,52.0,8.0,4.5,5.0
14,MD,5.59,33,1.18,10,0.97,2861,86.7,10.0,4.0,8.0,25.0,0.7695,2164.0,19.0,26.0,48.77,48.0,0.0,0.0,SerieA,28.0,9.0,3.5,5.5
15,A,5.38,25,1.18,10,0.76,1663,66.52,7.0,6.0,7.0,12.0,0.6972,620.0,0.0,1.0,40.91,16.0,0.0,0.0,SerieA,33.0,8.0,4.0,4.5
16,A,5.21,21,1.26,10,0.86,1540,73.33,6.5,0.0,4.0,6.0,0.7421,664.0,2.0,6.0,42.61,22.0,0.0,0.0,SerieA,23.0,8.0,3.5,3.75
17,A,5.13,27,1.28,10,0.81,1929,71.44,11.5,2.0,4.0,15.0,0.6562,690.0,3.0,6.0,39.55,19.0,0.0,0.0,SerieA,50.0,7.5,2.5,4.5
